iteration,mean,std,low,up
0,0.01882961867583919,0.020719389773598437,-0.006896901670789279,0.04455613902246766
50,13.400504649935012,2.9207422124921174,9.773924196649535,17.02708510322049
100,28.22934953333273,4.905091352506322,22.13887419302501,34.31982487364045
150,31.83053350365008,6.8723325127149675,23.297405638926676,40.363661368373485
200,56.94008535117034,11.357631573250488,42.8377231218028,71.04244758053787
250,60.48603762892617,12.877547277641474,44.496450789111826,76.4756244687405
300,67.15495104488504,14.089656510251793,49.660331809048074,84.649570280722
350,81.88341961506073,15.015311856491715,63.239447461052805,100.52739176906866
400,89.82272741237587,19.19465024981296,65.98942123907018,113.65603358568156
450,100.29013387628045,21.89907761983447,73.09883760186216,127.48143015069874
500,109.00707232322934,21.79989750533303,81.93892442632522,136.07522022013347
550,117.4800462935575,24.394226930267862,87.19061295023113,147.7694796368839
600,124.9874306612684,28.56027181851461,89.5251693653052,160.4496919572316
650,136.10921201418316,27.15646263266801,102.39001004463341,169.8284139837329
700,146.243032538141,30.514210442318266,108.35463599830098,184.131429077981
750,152.56043139931418,32.965646155558844,111.62817539043238,193.492687408196
800,160.67291795747389,34.50772830611352,117.82591405997567,203.5199218549721
850,169.59862382348993,36.37981742217712,124.42711426914644,214.77013337783342
900,176.2134647740208,38.89891069115992,127.91408779946394,224.51284174857764
950,183.41274805464815,39.538723733838175,134.31893825941648,232.5065578498798
1000,193.61372571389884,41.08931251406816,142.59460565423691,244.63284577356077
1050,203.46232738889765,44.00215631850237,148.82643404487885,258.09822073291645
1100,209.3793546166818,45.94642221113676,152.3293363108434,266.4293729225202
1150,215.2640981118369,47.91224621005226,155.77318691974014,274.75500930393366
1200,220.75041216415292,49.45495057089172,159.34398050732986,282.15684382097595
1250,229.15667831047432,48.786203643211735,168.58060563766088,289.73275098328776
1300,237.82257966048874,50.818920374453185,174.72255580394636,300.9226035170311
1350,245.39183393807502,53.55092153278018,178.89958260018702,311.884085275963
1400,252.07720872019573,54.82665556318604,184.00092436546936,320.1534930749221
1450,258.69852645092647,56.43534915478403,188.62478517937177,328.77226772248116
1500,264.42623459001277,57.15541831721361,193.45840936325254,335.394059816773
1550,272.39871030334535,60.4932925390403,197.2863668248105,347.5110537818802
1600,277.8693355661076,62.16884272134526,200.67652174902094,355.0621493831943
1650,284.24952405544224,62.88270296872563,206.1703356694345,362.32871244144997
1700,291.9891985908308,65.390434477891,210.79625027273124,373.1821469089304
1750,298.2797455963189,66.86528361623489,215.25553020035588,381.3039609922819
1800,305.27518383494237,69.0792661064806,219.5019460881877,391.048421581697
1850,312.41861771149286,69.42536645377125,226.2156396237416,398.6215957992441
1900,318.16515355039144,71.7917290340921,229.02394823995922,407.30635886082365
1950,324.0131851860871,74.08824663850102,232.0204766450192,416.00589372715507
2000,329.8333477800218,75.61624004661768,235.94338483460274,423.7233107254409
2050,335.67305334762403,76.99262802115179,240.07407900666536,431.27202768858274
2100,341.3652347238036,78.64864747576036,243.71004064573242,439.0204288018748
2150,348.57666402818586,78.85464680721137,250.6656879965979,446.4876400597738
2200,355.44590779171085,79.92144193935171,256.2103306510852,454.6814849323365
2250,361.0436282759846,81.01387536564171,260.4516158795003,461.63564067246887
2300,367.45887463484166,82.2989409396781,265.27124257974526,469.64650668993806
2350,373.1411160474957,83.2558451096297,269.7653305348394,476.516901560152
2400,378.6535705429436,85.54094616107798,272.4404573224464,484.86668376344085
2450,384.07050418147367,88.42882791479012,274.27161215632253,493.8693962066248
2500,389.3060175583546,91.11571773313528,276.170911178624,502.4411239380852
2550,395.8216134293939,93.15717574721974,280.1517021297301,511.4915247290577
2600,401.5256252754911,93.46056503295665,285.479006422287,517.5722441286952
2650,408.2703362759414,93.98557104488063,291.5718363588908,524.9688361929921
2700,413.2878639990363,95.60915678016705,294.5734161264833,532.0023118715893
2750,418.94320842551224,96.26603581086668,299.41313750936456,538.4732793416599
2800,424.99617839857837,98.24693937104907,303.00649084783856,546.9858659493182
2850,430.80588030556356,99.15064223891878,307.6940974387164,553.9176631724107
2900,436.2149631073747,100.85606071158468,310.98562352114664,561.4443026936027
2950,442.50457905308167,102.73324307984116,314.9444097021267,570.0647484040367
3000,447.3729758805824,104.78201955189228,317.26891454391455,577.4770372172502
3050,452.58562451757825,106.78147965603563,319.9989055537509,585.1723434814056
3100,456.7776558279291,108.51148703393643,322.0428489863354,591.5124626695228
3150,462.4102530829952,108.96474288261585,327.112654772121,597.7078513938694
3200,468.28359174633835,110.5893508431692,330.96877621964984,605.5984072730269
3250,474.93687881241675,110.34276408786324,337.9282411822255,611.945516442608
3300,480.6077961439837,112.65700235328453,340.72565217635326,620.4899401116141
3350,485.25692782315355,114.12597675638331,343.55081122491254,626.9630444213946
3400,489.8437957455406,114.44695921929038,347.7391267790531,631.9484647120281
3450,494.68907932702643,115.92150184108344,350.75352387324153,638.6246347808113
3500,500.55837067069206,116.63576937922427,355.735934929712,645.3808064116721
3550,507.004423589496,118.00382081993989,360.4833276268886,653.5255195521034
3600,512.024236657124,119.1552670764029,364.0734313319999,659.9750419822481
3650,517.6507012389241,120.38928374259092,368.1676618462109,667.1337406316372
3700,522.3835975932345,120.78756694228109,372.4060242903767,672.3611708960923
3750,526.8852853328748,121.36245638497913,376.1938925060714,677.5766781596782
3800,531.196634244701,122.21944812240704,379.4411456307753,682.9521228586268
3850,536.5343297792506,123.92763972855946,382.6578411459315,690.4108184125696
3900,541.9849985481087,126.45787627740323,384.966806285151,699.0031908110664
3950,547.2409218462569,127.87617067552861,388.46168449029284,706.0201592022211
4000,551.9771541988737,129.15312439431412,391.6123693829212,712.3419390148262
4050,557.4352281385502,130.7113562557527,395.1356429193954,719.734813357705
4100,561.8831356423337,132.24837798033914,397.6750858833029,726.0911854013646
4150,566.8544980304653,132.54562343956533,402.27736928608374,731.4316267748468
4200,571.0576527637797,135.2714878731986,403.0959162881717,739.0193892393878
4250,576.0706907974985,136.47875303864276,406.6099366296729,745.5314449653241
4300,581.3634043979104,137.39336263578096,410.76701242090655,751.9597963749142
4350,586.1827553742781,138.04122019520145,414.7819419897778,757.5835687587785
4400,591.0871805856416,140.2528254658869,416.9402965582934,765.2340646129898
4450,595.1597710190265,141.4224631462551,419.5605899930226,770.7589520450304
4500,599.7048134342332,141.70149541438988,423.75916808654915,775.6504587819172
4550,604.6932142269043,144.0746545530409,425.800902614749,783.5855258390595
4600,609.8235502327427,144.25156020695016,430.7115812390497,788.9355192264358
4650,615.2514188068269,146.3586834986798,433.5231106820165,796.9797269316373
4700,619.387078603106,147.82630508595213,435.8364775903929,802.9376796158192
4750,623.5113592221161,148.55046441660207,439.0615956395716,807.9611228046606
4800,627.5701189008047,150.64492254360266,440.51974206621827,814.6204957353912
4850,632.2455246090309,152.04961126525507,443.4509963600858,821.040052857976
4900,637.3027388791793,153.29602555951962,446.9605828741994,827.6448948841592
4950,641.0675520040143,154.37171207409517,449.3897547805326,832.7453492274959
4999,646.0744479658083,155.70119450401617,452.74588027284926,839.4030156587673
